Start	End	Biotype	Strand	Name	Product	Bnb	JWnb	ECKnb
1207126	1207308	protein_coding	D	ymfR	hypothetical protein	b1150	JW1136	ECK1136
1207308	1207781	protein_coding	D	ymfO	conserved hypothetical protein	b1151	JW1137	ECK1137
1207837	1208499	protein_coding	D	ymfP	conserved hypothetical protein	b1152	JW5170	ECK1138
1208490	1209074	protein_coding	D	ymfQ	conserved hypothetical protein	b1153	JW1139	ECK1139
1209078	1209707	protein_coding	D	ycfK	hypothetical protein	b1154	JW1140	ECK1140
1209709	1210122	protein_coding	D	ymfS	hypothetical protein	b1155	JW5171	ECK1141
1210094	1210696	protein_coding	C	tfaE	predicted tail fiber assembly protein	b1156	JW1142	ECK1142
1211262	1211816	protein_coding	D	pin	site-specific DNA recombinase	b1158	JW1144	ECK1144
1211923	1212756	protein_coding	D	mcrA	5-methylcytosine-specific restriction endonuclease B	b1159	JW1145	ECK1145
1213257	1213580	protein_coding	C	elbA	hypothetical protein	b1160	JW1147	ECK1147
1214280	1214684	protein_coding	C	ycgX	hypothetical protein	b1161	JW1148	ECK1148
1214905	1215636	protein_coding	C	ycgE	predicted DNA-binding transcriptional regulator	b1162	JW1149	ECK1149
1215841	1217052	protein_coding	C	ycgF	predicted FAD-binding phosphodiesterase	b1163	JW1150	ECK1150
1217366	1217602	protein_coding	D	ycgZ	hypothetical protein	b1164	JW1151	ECK1151
1217645	1217917	protein_coding	D	ymgA	hypothetical protein	b1165	JW1152	ECK1152
1217946	1218212	protein_coding	D	ymgB	hypothetical protein	b1166	JW1153	ECK1153
1218325	1218573	protein_coding	D	ymgC	hypothetical protein	b1167	JW1154	ECK1154
1218905	1220428	protein_coding	D	ycgG	conserved inner membrane protein	b1168	JW5174	ECK1155
1220560	1220778	protein_coding	D	ymgF	hypothetical protein	b4520	JW1156	ECK1156
1223882	1224211	protein_coding	C	ymgD	hypothetical protein	b1171	JW5177	ECK1158
1224221	1224496	protein_coding	C	ymgG	hypothetical protein	b1172	JW5178	ECK1159
1225042	1225263	protein_coding	D	ymgH	hypothetical protein	b4521	JW5179	ECK1160
1225272	1225484	protein_coding	D	ycgI	hypothetical protein	b1173	JW1162	ECK1161
1225856	1226122	protein_coding	C	minE	cell division topological specificity factor	b1174	JW1163	ECK1162
1226126	1226938	protein_coding	C	minD	membrane ATPase of the MinC-MinD-MinE system	b1175	JW1164	ECK1163
1226962	1227657	protein_coding	C	minC	cell division inhibitor	b1176	JW1165	ECK1164
1228177	1228545	protein_coding	D	ycgJ	hypothetical protein	b1177	JW1166	ECK1165
1228648	1229049	protein_coding	C	ycgK	hypothetical protein	b1178	JW1167	ECK1166
1229258	1229584	protein_coding	D	ycgL	conserved hypothetical protein	b1179	JW1168	ECK1167
1229656	1230315	protein_coding	D	ycgM	predicted isomerase/hydrolase	b1180	JW1169	ECK1168
1230407	1230853	protein_coding	D	ycgN	conserved hypothetical protein	b1181	JW5180	ECK1169
1231060	1231971	protein_coding	C	hlyE	hemolysin E	b1182	JW5181	ECK1170
1232344	1232763	protein_coding	D	umuD	DNA polymerase V%2C subunit D	b1183	JW1172	ECK1171
1232763	1234031	protein_coding	D	umuC	DNA polymerase V%2C subunit C	b1184	JW1173	ECK1172
1234077	1234607	protein_coding	C	dsbB	oxidoreductase that catalyzes reoxidation of DsbA protein disulfide isomerase I	b1185	JW5182	ECK1173
1234753	1236294	protein_coding	C	nhaB	sodium:proton antiporter	b1186	JW1175	ECK1174
1236515	1237234	protein_coding	D	fadR	DNA-binding transcriptional dual regulator	b1187	JW1176	ECK1175
1237286	1238818	protein_coding	C	ycgB	conserved hypothetical protein	b1188	JW1177	ECK1176
1239148	1240446	protein_coding	D	dadA	D-amino acid dehydrogenase	b1189	JW1178	ECK1177
1240456	1241526	protein_coding	D	dadX	alanine racemase 2%2C PLP-binding	b1190	JW1179	ECK1178
1241912	1243648	protein_coding	C	cvrA	predicted cation/proton antiporter	b1191	JW5184	ECK1179
1243743	1244657	protein_coding	C	ldcA	L%2CD-carboxypeptidase A	b1192	JW1181	ECK1180
1244757	1245368	protein_coding	D	emtA	lytic murein endotransglycosylase E	b1193	JW5821	ECK1181
1245370	1246104	protein_coding	C	ycgR	protein involved in flagellar function	b1194	JW1183	ECK1182
1246305	1246559	protein_coding	D	ymgE	predicted inner membrane protein	b1195	JW1184	ECK1183
1246737	1247177	protein_coding	D	ycgY	hypothetical protein	b1196	JW1185	ECK1184
1247256	1248953	protein_coding	C	treA	periplasmic trehalase	b1197	JW1186	ECK1185
1249273	1250691	protein_coding	C	dhaH	fused predicted dihydroxyacetone-specific PTS enzyme HPr component and EI component	b1198	JW5185	ECK1186
1250702	1251334	protein_coding	C	dhaL	dihydroxyacetone kinase%2C C-terminal domain	b1199	JW5186	ECK1187
1251345	1252415	protein_coding	C	dhaK	dihydroxyacetone kinase%2C N-terminal domain	b1200	JW5187	ECK1188
1252643	1254562	protein_coding	D	dhaR	predicted DNA-binding transcriptional regulator%2C dihydroxyacetone	b1201	JW5188	ECK1189
1254662	1257529	protein_coding	C	ycgV	predicted adhesin	b1202	JW1193	ECK1190
1258298	1259389	protein_coding	C	ychF	predicted GTP-binding protein	b1203	JW1194	ECK1191
1259506	1260090	protein_coding	C	pth	peptidyl-tRNA hydrolase	b1204	JW1195	ECK1192
1260368	1260646	protein_coding	D	ychH	predicted inner membrane protein	b1205	JW1196	ECK1193
1260701	1262380	protein_coding	C	ychM	predicted transporter	b1206	JW5189	ECK1194
1262505	1263452	protein_coding	C	prsA	phosphoribosylpyrophosphate synthase	b1207	JW1198	ECK1195
1263603	1264454	protein_coding	C	ispE	4-diphosphocytidyl-2-C-methylerythritol kinase	b1208	JW1199	ECK1196
1264454	1265077	protein_coding	C	lolB	chaperone for lipoproteins	b1209	JW1200	ECK1197
1265291	1266547	protein_coding	D	hemA	glutamyl tRNA reductase	b1210	JW1201	ECK1198
1266589	1267671	protein_coding	D	prfA	peptide chain release factor RF-1	b1211	JW1202	ECK1199
1267671	1268504	protein_coding	D	prmC	N5-glutamine methyltransferase%2C modifies release factors RF-1 and RF-2	b1212	JW1203	ECK1200
1268501	1268893	protein_coding	D	ychQ	predicted transcriptional regulator	b1213	JW1204	ECK1201
1268897	1269706	protein_coding	D	ychA	predicted transcriptional regulator	b1214	JW1205	ECK1202
1269742	1270596	protein_coding	D	kdsA	3-deoxy-D-manno-octulosonate 8-phosphate synthase	b1215	JW1206	ECK1203
1270745	1270852	protein_coding	C	ldrA	toxic polypeptide%2C small	b4419	JW5957	ECK1204
1270900	1270966	misc_RNA	D	rdlA		b4420	JWR0229	ECK1205
1271280	1271387	protein_coding	C	ldrB	toxic polypeptide%2C small	b4421	JW5958	ECK1206
1271435	1271500	misc_RNA	D	rdlB		b4422	JWR0230	ECK1207
1271815	1271922	protein_coding	C	ldrC	toxic polypeptide%2C small	b4423	JW5959	ECK1208
1271970	1272037	misc_RNA	D	rdlC		b4424	JWR0231	ECK1209
1272326	1273426	protein_coding	C	chaA	calcium/sodium:proton antiporter	b1216	JW1207	ECK1210
1273696	1273926	protein_coding	D	chaB	predicted cation regulator	b1217	JW1208	ECK1211
1274063	1274779	protein_coding	D	chaC	regulatory protein for cation transport	b1218	JW1209	ECK1212
1274823	1275176	protein_coding	C	ychN	conserved hypothetical protein	b1219	JW1210	ECK1213
1275502	1276755	protein_coding	D	ychP	predicted invasin	b1220	JW1211	ECK1214
1276756	1277406	protein_coding	C	narL	DNA-binding response regulator in two-component regulatory system with NarX (or NarQ)	b1221	JW1212	ECK1215
1277399	1279195	protein_coding	C	narX	sensory histidine kinase in two-component regulatory system with NarL	b1222	JW1213	ECK1216
1279534	1280925	protein_coding	D	narK	nitrate/nitrite transporter	b1223	JW1214	ECK1217
1281441	1285184	protein_coding	D	narG	nitrate reductase 1%2C alpha subunit	b1224	JW1215	ECK1218
1285181	1286719	protein_coding	D	narH	nitrate reductase 1%2C beta (Fe-S) subunit	b1225	JW1216	ECK1219
1286716	1287426	protein_coding	D	narJ	molybdenum-cofactor-assembly chaperone subunit (delta subunit) of nitrate reductase 1	b1226	JW1217	ECK1220
1287426	1288103	protein_coding	D	narI	nitrate reductase 1%2C gamma (cytochrome b(NR)) subunit	b1227	JW1218	ECK1221
1288286	1288561	protein_coding	D	ychS	hypothetical protein	b1228	JW5881	ECK1222
1288643	1288813	misc_RNA	C	rttR		b4425	JWR0232	ECK1223
1288664	1288765	protein_coding	C	tpr	predicted protamine-like protein	b1229	JW1219	ECK1224
1288821	1288905	tRNA	C	tyrV		b1230	JWR0028	ECK1225
1289115	1289199	tRNA	C	tyrT		b1231	JWR0029	ECK1226
1289359	1290201	protein_coding	C	purU	formyltetrahydrofolate hydrolase	b1232	JW1220	ECK1227
1290251	1290709	protein_coding	C	ychJ	conserved hypothetical protein	b1233	JW1221	ECK1228
1290783	1291727	protein_coding	D	rssA	conserved hypothetical protein	b1234	JW1222	ECK1229
1291819	1292832	protein_coding	D	rssB	response regulator of RpoS	b1235	JW1223	ECK1230
1293034	1293942	protein_coding	D	galU	glucose-1-phosphate uridylyltransferase	b1236	JW1224	ECK1231
1294086	1294499	protein_coding	C	hns	global DNA-binding transcriptional dual regulator H-NS	b1237	JW1225	ECK1232
1295104	1295721	protein_coding	D	tdk	thymidine kinase/deoxyuridine kinase	b1238	JW1226	ECK1233
1297023	1299698	protein_coding	C	adhE	fused acetaldehyde-CoA dehydrogenase and iron-dependent alcohol dehydrogenase and pyruvate-formate lyase deactivase	b1241	JW1228	ECK1235
1300175	1300822	protein_coding	D	ychE	predicted inner membrane protein	b1242	JW1229	ECK1236
1301130	1301495	protein_coding	D	insC-3	IS2 element protein		JW5902	ECK0357
1301435	1302358	protein_coding	D	insD-3	IS2 element protein		JW5903	ECK0358
1302896	1304527	protein_coding	D	oppA	oligopeptide transporter subunit	b1243	JW1235	ECK1237
1304613	1305533	protein_coding	D	oppB	oligopeptide transporter subunit	b1244	JW1236	ECK1238
1305548	1306456	protein_coding	D	oppC	oligopeptide transporter subunit	b1245	JW1237	ECK1239
1306468	1307481	protein_coding	D	oppD	oligopeptide transporter subunit	b1246	JW1238	ECK1240
1307478	1308482	protein_coding	D	oppF	oligopeptide transporter subunit	b1247	JW1239	ECK1241
1308535	1308864	protein_coding	C	yciU	hypothetical protein	b1248	JW1240	ECK1242
1308899	1310359	protein_coding	C	cls	cardiolipin synthase 1	b1249	JW1241	ECK1243
1310730	1311983	protein_coding	C	kch	voltage-gated potassium channel	b1250	JW1242	ECK1244
1312283	1312579	protein_coding	C	yciI	hypothetical protein	b1251	JW1243	ECK1245
1312803	1313522	protein_coding	D	tonB	membrane spanning protein in TonB-ExbB-ExbD complex	b1252	JW5195	ECK1246
1313562	1313960	protein_coding	C	yciA	predicted hydrolase	b1253	JW1245	ECK1247
1314065	1314604	protein_coding	C	yciB	predicted inner membrane protein	b1254	JW1246	ECK1248
1314634	1315377	protein_coding	C	yciC	predicted inner membrane protein	b1255	JW1247	ECK1249
1315734	1316372	protein_coding	D	ompW	outer membrane protein W	b1256	JW1248	ECK1250
1316432	1316938	protein_coding	C	yciE	conserved hypothetical protein	b1257	JW1249	ECK1251
1316984	1317484	protein_coding	C	yciF	conserved hypothetical protein	b1258	JW1250	ECK1252
1317570	1317749	protein_coding	C	yciG	hypothetical protein	b1259	JW1251	ECK1253
1318130	1318936	protein_coding	C	trpA	tryptophan synthase%2C alpha subunit	b1260	JW1252	ECK1254
1318936	1320129	protein_coding	C	trpB	tryptophan synthase%2C beta subunit	b1261	JW1253	ECK1255
1320141	1321499	protein_coding	C	trpC	fused indole-3-glycerolphosphate synthetase and N-(5-phosphoribosyl)anthranilate isomerase	b1262	JW1254	ECK1256
1321503	1323098	protein_coding	C	trpD	fused glutamine amidotransferase (component II) of anthranilate synthase and anthranilate phosphoribosyl transferase	b1263	JW1255	ECK1257
1323098	1324660	protein_coding	C	trpE	component I of anthranilate synthase	b1264	JW1256	ECK1258
1324752	1324796	protein_coding	C	trpL	trp operon leader peptide	b1265	JW1257	ECK1259
1324934	1325815	protein_coding	D	yciV	conserved hypothetical protein	b1266	JW1258	ECK1260
1325812	1326432	protein_coding	D	yciO	conserved hypothetical protein	b1267	JW5196	ECK1261
1326460	1328355	protein_coding	D	yciQ	predicted inner membrane protein	b1268	JW5197	ECK1262
1328566	1329441	protein_coding	D	rluB	23S rRNA pseudouridylate synthase	b1269	JW1261	ECK1263
1329481	1330071	protein_coding	C	btuR	cob(I)alamin adenolsyltransferase/cobinamide ATP-dependent adenolsyltransferase	b1270	JW1262	ECK1264
1330068	1330826	protein_coding	C	yciK	predicted oxoacyl-(acyl carrier protein) reductase%2C EmrKY-TolC system	b1271	JW1263	ECK1265
1331046	1332095	protein_coding	D	sohB	predicted inner membrane peptidase	b1272	JW1264	ECK1266
1332131	1332382	protein_coding	C	yciN	hypothetical protein	b1273	JW1265	ECK1267
1332762	1335359	protein_coding	D	topA	DNA topoisomerase I%2C omega subunit	b1274	JW1266	ECK1268
1335569	1336543	protein_coding	D	cysB	DNA-binding transcriptional dual regulator%2C O-acetyl-L-serine-binding	b1275	JW1267	ECK1269
1337545	1340220	protein_coding	D	acnA	aconitate hydratase 1	b1276	JW1268	ECK1271
1340284	1340874	protein_coding	C	ribA	GTP cyclohydrolase II	b1277	JW1269	ECK1272
1341044	1341808	protein_coding	D	pgpB	phosphatidylglycerophosphate phosphatase B	b1278	JW1270	ECK1273
1341957	1342265	protein_coding	D	yciS	conserved inner membrane protein	b1279	JW1271	ECK1274
1342272	1343441	protein_coding	D	yciM	conserved hypothetical protein	b1280	JW1272	ECK1275
1343635	1344372	protein_coding	D	pyrF	orotidine-5'-phosphate decarboxylase	b1281	JW1273	ECK1276
1344372	1344698	protein_coding	D	yciH	conserved hypothetical protein	b1282	JW1274	ECK1277
1344824	1345042	protein_coding	C	osmB	lipoprotein	b1283	JW1275	ECK1278
1345311	1346060	protein_coding	C	yciT	predicted DNA-binding transcriptional regulator	b1284	JW1276	ECK1279
1346471	1348456	protein_coding	C	gmr	modulator of Rnase II stability	b1285	JW1278	ECK1280
1348692	1350626	protein_coding	C	rnb	ribonuclease II	b1286	JW1279	ECK1281
1350694	1351821	protein_coding	C	yciW	predicted oxidoreductase	b1287	JW5200	ECK1282
1351965	1352753	protein_coding	C	fabI	enoyl-[acyl-carrier-protein] reductase%2C NADH-dependent	b1288	JW1281	ECK1283
1353121	1353474	protein_coding	C	ycjD	conserved hypothetical protein	b1289	JW1282	ECK1284
1353542	1354348	protein_coding	C	sapF	predicted antimicrobial peptide transporter subunit	b1290	JW1283	ECK1285
1354350	1355342	protein_coding	C	sapD	predicted antimicrobial peptide transporter subunit	b1291	JW1284	ECK1286
1355342	1356232	protein_coding	C	sapC	predicted antimicrobial peptide transporter subunit	b1292	JW1285	ECK1287
1356219	1357184	protein_coding	C	sapB	predicted antimicrobial peptide transporter subunit	b1293	JW1286	ECK1288
1357181	1358824	protein_coding	C	sapA	predicted antimicrobial peptide transporter subunit	b1294	JW1287	ECK1289
1359137	1359382	protein_coding	C	ymjA	hypothetical protein	b1295	JW1288	ECK1290
1359516	1360901	protein_coding	C	puuP	putrescine importer	b1296	JW1289	ECK1291
1361204	1362622	protein_coding	C	puuA	gamma-Glu-putrescine synthase	b1297	JW5201	ECK1292
1362834	1363598	protein_coding	D	puuD	gamma-Glu-GABA hydrolase	b1298	JW1291	ECK1293
1363625	1364182	protein_coding	D	puuR	DNA-binding transcriptional repressor	b1299	JW1292	ECK1294
1364457	1365944	protein_coding	D	puuC	gamma-Glu-gamma-aminobutyraldehyde dehydrogenase%2C NAD(P)H-dependent	b1300	JW1293	ECK1295
1365946	1367226	protein_coding	D	puuB	gamma-Glu-putrescine oxidase%2C FAD/NAD(P)-binding	b1301	JW1294	ECK1296
1367264	1368529	protein_coding	D	puuE	GABA aminotransferase%2C PLP-dependent	b1302	JW1295	ECK1297
1368649	1369626	protein_coding	C	pspF	DNA-binding transcriptional activator	b1303	JW1296	ECK1298
1369793	1370461	protein_coding	D	pspA	regulatory protein for phage-shock-protein operon	b1304	JW1297	ECK1299
1370515	1370739	protein_coding	D	pspB	transcriptional regulator of psp operon	b1305	JW1298	ECK1300
1370739	1371098	protein_coding	D	pspC	transcriptional activator	b1306	JW1299	ECK1301
1371107	1371328	protein_coding	D	pspD	peripheral inner membrane phage-shock protein	b1307	JW1300	ECK1302
1371403	1371717	protein_coding	D	pspE	thiosulfate:cyanide sulfurtransferase	b1308	JW1301	ECK1303
1371930	1373609	protein_coding	D	ycjM	predicted glucosyltransferase	b1309	JW1302	ECK1304
1373623	1374915	protein_coding	D	ycjN	predicted sugar transporter subunit	b1310	JW1303	ECK1305
1374936	1375817	protein_coding	D	ycjO	predicted sugar transporter subunit	b1311	JW1304	ECK1306
1375804	1376646	protein_coding	D	ycjP	predicted sugar transporter subunit	b1312	JW1305	ECK1307
1376677	1377729	protein_coding	D	ycjQ	predicted oxidoreductase%2C Zn-dependent and NAD(P)-binding	b1313	JW1306	ECK1308
1377748	1378536	protein_coding	D	ycjR	hypothetical protein	b1314	JW5202	ECK1309
1378546	1379601	protein_coding	D	ycjS	predicted oxidoreductase%2C NADH-binding	b1315	JW1308	ECK1310
1379598	1381865	protein_coding	D	ycjT	predicted hydrolase	b1316	JW1309	ECK1311
1381862	1382521	protein_coding	D	ycjU	predicted beta-phosphoglucomutase	b1317	JW1310	ECK1312
1382535	1383503	protein_coding	D	ycjV	predicted sugar transporter subunit	b1318	JW1311	ECK1313
1383503	1383616	protein_coding	D	ymjB	hypothetical protein	b4524	JW5203	ECK1314
1383661	1384566	protein_coding	D	ompG	outer membrane porin	b1319	JW1312	ECK1315
1384677	1385675	protein_coding	C	ycjW	predicted DNA-binding transcriptional regulator	b1320	JW1313	ECK1316
1385831	1387228	protein_coding	D	ycjX	conserved hypothetical protein with nucleoside triphosphate hydrolase domain	b1321	JW1314	ECK1317
1387225	1388286	protein_coding	D	ycjF	conserved inner membrane protein	b1322	JW1315	ECK1318
1388434	1389975	protein_coding	D	tyrR	DNA-binding transcriptional dual regulator%2C tyrosine-binding	b1323	JW1316	ECK1319
1390019	1390525	protein_coding	C	tpx	lipid hydroperoxide peroxidase	b1324	JW1317	ECK1320
1390644	1391609	protein_coding	D	ycjG	L-Ala-D/L-Glu epimerase	b1325	JW1318	ECK1321
1391584	1392372	protein_coding	C	mpaA	murein peptide amidase A	b1326	JW1319	ECK1322
1392394	1392576	protein_coding	C	ymjC	predicted oxidoreductase	b4525	JW5960	ECK1323
1392647	1393579	protein_coding	C	ycjY	predicted hydrolase	b1327	JW5804	ECK1324
1393705	1394604	protein_coding	D	ycjZ	predicted DNA-binding transcriptional regulator	b1328	JW1321	ECK1325
1394941	1396554	protein_coding	D	mppA	murein tripeptide (L-ala-gamma-D-glutamyl-meso-DAP) transporter subunit	b1329	JW1322	ECK1326
1396605	1397636	protein_coding	C	ynaI	conserved inner membrane protein	b1330	JW1323	ECK1327
1397790	1398806	protein_coding	D	insH-5	IS5 transposase and trans-activator	b1331	JW1324	ECK0261
1399079	1399336	protein_coding	D	ynaJ	predicted inner membrane protein	b1332	JW1326	ECK1328
1399386	1400336	protein_coding	C	uspE	stress-induced protein	b1333	JW1327	ECK1329
1400488	1401240	protein_coding	C	fnr	DNA-binding transcriptional dual regulator%2C global regulator of anaerobic growth	b1334	JW1328	ECK1330
1401435	1401950	protein_coding	C	ogt	O-6-alkylguanine-DNA:cysteine-protein methyltransferase	b1335	JW1329	ECK1331
1401961	1403487	protein_coding	C	abgT	predicted cryptic aminobenzoyl-glutamate transporter	b1336	JW5822	ECK1332
1403524	1404969	protein_coding	C	abgB	predicted peptidase%2C aminobenzoyl-glutamate utilization protein	b1337	JW1331	ECK1333
1404969	1406279	protein_coding	C	abgA	predicted peptidase%2C aminobenzoyl-glutamate utilization protein	b1338	JW5205	ECK1334
1406455	1407363	protein_coding	D	abgR	predicted DNA-binding transcriptional regulator	b1339	JW1333	ECK1335
1407366	1407523	misc_RNA	C	isrA		b4426	JWR0233	ECK1336
1407693	1408256	protein_coding	D	ydaL	conserved hypothetical protein	b1340	JW1334	ECK1337
1408277	1409509	protein_coding	C	ydaM	predicted diguanylate cyclase%2C GGDEF domain signalling protein	b1341	JW5206	ECK1338
1409764	1410747	protein_coding	D	ydaN	predicted Zn(II) transporter	b1342	JW1336	ECK1339
1411225	1412598	protein_coding	D	dbpA	ATP-dependent RNA helicase specific for 23S rRNA	b1343	JW1337	ECK1340
1412727	1413662	protein_coding	C	ydaO	predicted C32 tRNA thiolase	b1344	JW1338	ECK1341
1413714	1414949	protein_coding	C	intR	integrase	b1345	JW1339	ECK1342
1414951	1415166	protein_coding	C	ydaQ	conserved hypothetical protein	b1346	JW5207	ECK1343
1415245	1415454	protein_coding	C	ydaC	hypothetical protein	b1347	JW1341	ECK1344
1415447	1415641	protein_coding	C	lar	restriction alleviation protein	b1348	JW5208	ECK1345
1415698	1416507	protein_coding	C	recT	recombination and repair protein	b1349	JW1343	ECK1346
1416500	1419100	protein_coding	C	recE	exonuclease VIII%2C 5' -> 3' specific dsDNA exonuclease	b1350	JW1344	ECK1347
1419202	1419477	protein_coding	C	racC	hypothetical protein	b1351	JW1345	ECK1348
1419552	1419722	protein_coding	C	ydaE	conserved hypothetical protein	b4526	JW1346	ECK1349
1419722	1419943	protein_coding	C	kil	inhibitor of ftsZ%2C killing protein	b1352	JW1347	ECK1350
1420385	1420873	protein_coding	D	sieB	phage superinfection exclusion protein	b1353	JW5209	ECK1351
1420870	1421025	protein_coding	C	ydaF	hypothetical protein	b4527	JW1349	ECK1352
1421036	1421170	protein_coding	C	ydaG	hypothetical protein	b1355	JW5210	ECK1353
1421479	1421955	protein_coding	C	racR	predicted DNA-binding transcriptional regulator	b1356	JW1351	ECK1354
1422079	1422375	protein_coding	D	ydaS	predicted DNA-binding transcriptional regulator	b1357	JW1352	ECK1355
1422398	1422820	protein_coding	D	ydaT	hypothetical protein	b1358	JW1353	ECK1356
1422833	1423690	protein_coding	D	ydaU	conserved hypothetical protein	b1359	JW1354	ECK1357
1423697	1424443	protein_coding	D	ydaV	predicted DNA replication protein	b1360	JW1355	ECK1358
1424466	1425026	protein_coding	D	ydaW	predicted DNA-binding protein	b1361	JW5211	ECK1359
1425059	1425358	protein_coding	D	rzpR	predicted defective peptidase	b1362	JW5212	ECK1360
1425114	1425299	protein_coding	D	rzoR	predicted lipoprotein	b4528	JW5213	ECK1361
1425496	1426953	protein_coding	D	trkG	potassium transporter subunit	b1363	JW1358	ECK1362
1427091	1427354	protein_coding	D	ynaK	conserved hypothetical protein	b1365	JW1359	ECK1363
1427335	1427694	protein_coding	D	ydaY	hypothetical protein	b1366	JW1360	ECK1364
1428168	1429196	protein_coding	D	ynaA	predicted tail protein	b1368	JW1361	ECK1365
1429460	1430440	protein_coding	C	insH-6	IS5 transposase and trans-activator	b1370	JW1363	ECK0261
1430763	1434125	protein_coding	D	stfR	predicted tail fiber protein	b1372	JW1366	ECK1367
1434125	1434700	protein_coding	D	tfaR	predicted tail fiber assembly protein	b1373	JW1367	ECK1368
1434798	1435388	protein_coding	C	pinR	predicted site-specific recombinase	b1374	JW1368	ECK1369
1435705	1435971	protein_coding	C	ynaE	predicted DNA-binding transcriptional regulator	b1375	JW1369	ECK1370
1436899	1437333	protein_coding	C	uspF	stress-induced protein%2C ATP-binding protein	b1376	JW1370	ECK1371
1437474	1438607	protein_coding	C	ompN	outer membrane pore protein N%2C non-specific	b1377	JW1371	ECK1372
1438835	1438942	misc_RNA	D	micC		b4427	JWR0234	ECK1373
1438974	1442498	protein_coding	C	ydbK	fused predicted Fe-S subunit of pyruvate-flavodoxin oxidoreductase	b1378	JW1372	ECK1374
1442772	1443038	protein_coding	D	ydbJ	hypothetical protein	b4529	JW5215	ECK1375
1443035	1443457	protein_coding	C	hslJ	heat-inducible protein	b1379	JW1374	ECK1376
1443568	1444557	protein_coding	C	ldhA	fermentative D-lactate dehydrogenase%2C NAD-dependent	b1380	JW1375	ECK1377
1444765	1447404	protein_coding	D	ydbH	hypothetical protein	b1381	JW1376	ECK1378
1447401	1447586	protein_coding	D	ynbE	predicted lipoprotein	b1382	JW1377	ECK1379
1447594	1447920	protein_coding	D	ydbL	conserved hypothetical protein	b1383	JW5216	ECK1380
1448092	1448997	protein_coding	C	feaR	DNA-binding transcriptional regulator	b1384	JW1379	ECK1381
1449233	1450732	protein_coding	D	feaB	phenylacetaldehyde dehydrogenase	b1385	JW1380	ECK1382
1450790	1453063	protein_coding	C	tynA	tyramine oxidase%2C copper-requiring	b1386	JW1381	ECK1383
1453311	1455356	protein_coding	C	maoC	fused aldehyde dehydrogenase and enoyl-CoA hydratase	b1387	JW1382	ECK1384
1455641	1456570	protein_coding	D	paaA	predicted multicomponent oxygenase/reductase subunit for phenylacetic acid degradation	b1388	JW1383	ECK1385
1456582	1456869	protein_coding	D	paaB	predicted multicomponent oxygenase/reductase subunit for phenylacetic acid degradation	b1389	JW1384	ECK1386
1456878	1457624	protein_coding	D	paaC	predicted multicomponent oxygenase/reductase subunit for phenylacetic acid degradation	b1390	JW1385	ECK1387
1457639	1458136	protein_coding	D	paaD	predicted multicomponent oxygenase/reductase subunit for phenylacetic acid degradation	b1391	JW5217	ECK1388
1458144	1459214	protein_coding	D	paaE	predicted multicomponent oxygenase/reductase subunit for phenylacetic acid degradation	b1392	JW1387	ECK1389
1459211	1459978	protein_coding	D	paaF	enoyl-CoA hydratase-isomerase	b1393	JW1388	ECK1390
1459978	1460766	protein_coding	D	paaG	acyl-CoA hydratase	b1394	JW1389	ECK1391
1460768	1462195	protein_coding	D	paaH	3-hydroxybutyryl-CoA dehydrogenase	b1395	JW1390	ECK1392
1462185	1462607	protein_coding	D	paaI	predicted thioesterase	b1396	JW1391	ECK1393
1462607	1463812	protein_coding	D	paaJ	predicted beta-ketoadipyl CoA thiolase	b1397	JW1392	ECK1394
1463839	1465152	protein_coding	D	paaK	phenylacetyl-CoA ligase	b1398	JW5218	ECK1395
1465253	1466203	protein_coding	D	paaX	DNA-binding transcriptional regulator%2C aryl-CoA responsive	b1399	JW1394	ECK1396
1466185	1466775	protein_coding	D	paaY	predicted hexapeptide repeat acetyltransferase	b1400	JW1395	ECK1397
1469635	1470540	protein_coding	C	insD-4	IS2 insertion element transposase InsAB'	b1402	JW1397	ECK0358
1470498	1470908	protein_coding	C	insC-4	IS2 insertion element repressor InsA	b1403	JW1400	ECK0357
1475935	1476795	protein_coding	D	ydbC	predicted oxidoreductase%2C NAD(P)-binding	b1406	JW1403	ECK1399
1476858	1479164	protein_coding	D	ydbD	hypothetical protein	b1407	JW5221	ECK1400
1479335	1479940	protein_coding	D	ynbA	predicted inner membrane protein	b1408	JW1405	ECK1401
1479940	1480836	protein_coding	D	ynbB	predicted CDP-diglyceride synthase	b1409	JW1406	ECK1402
1480852	1482609	protein_coding	D	ynbC	predicted hydrolase	b1410	JW1407	ECK1403
1482623	1483915	protein_coding	D	ynbD	predicted phosphatase%2C inner membrane protein	b1411	JW1408	ECK1404
1483969	1484574	protein_coding	C	azoR	NADH-azoreductase%2C FMN-dependent	b1412	JW1409	ECK1405
1484832	1488677	protein_coding	D	hrpA	ATP-dependent helicase	b1413	JW5905	ECK1406
1488949	1489749	protein_coding	D	ydcF	conserved hypothetical protein	b1414	JW1411	ECK1407
1489946	1491385	protein_coding	D	aldA	aldehyde dehydrogenase A%2C NAD-linked	b1415	JW1412	ECK1408
1492616	1493146	protein_coding	D	cybB	cytochrome b561	b1418	JW5224	ECK1410
1493391	1493564	protein_coding	D	ydcA	hypothetical protein	b1419	JW1416	ECK1411
1493636	1493785	protein_coding	C	hokB	toxic polypeptide%2C small	b4428	JW5225	ECK1412
